Date,Time,Currency,News,Impact,Forecast,Previous,Direction
8/3/2017,6:00,GBP,BoE MPC minutes released,high,0,0,0
8/3/2017,6:00,GBP,BoE Monetary Policy Committee Meeting and Rate Decision,high,0,0,0
8/3/2017,6:00,GBP,Official Bank Rate,high,0.25%,0.25%,-1
8/3/2017,6:00,GBP,Asset Purchase Facility,high,435.0B,435.0B,-1
8/3/2017,9:00,USD,ISM Non-Manufacturing,high,56.9,57.4,1
8/4/2017,7:30,USD,Unemployment Rate,high,4.30%,4.40%,-1
8/4/2017,7:30,USD,Nonfarm Payrolls,high,180.0k,231.0k*,1
8/4/2017,7:30,USD,Private Payrolls,high,180.0k,194.0k*,1
8/4/2017,7:30,USD,Average Hourly Earnings (m/m),high,0.30%,0.20%,1
8/10/2017,3:30,GBP,Manufacturing Production (y/y),high,0.60%,0.3%*,1
8/10/2017,7:30,USD,PPI (m/m),high,0.10%,0.10%,1
8/11/2017,All Day,JPY,Market Holiday - Mountain Day,high,0,0,0
8/11/2017,7:30,USD,CPI (m/m),high,0.20%,0.00%,1
8/11/2017,7:30,USD,Core CPI (m/m),high,0.20%,0.10%,1
8/15/2017,All Day,EUR,French Market Holiday - Assumption Day,high,0,0,0
8/15/2017,3:30,GBP,CPI (m/m),high,0.00%,0.00%,1
8/15/2017,3:30,GBP,CPI (y/y),high,2.70%,2.60%,1
8/15/2017,7:30,USD,Core Retail Sales (m/m),high,0.30%,0.1%*,1
8/15/2017,7:30,USD,Retail Sales (m/m),high,0.30%,0.3%*,1
8/16/2017,4:00,EUR,GDP (SA) (Prelim) (q/q),high,0.60%,0.60%,1
8/16/2017,4:00,EUR,GDP (SA) (Prelim) (y/y),high,2.10%,2.10%,1
8/16/2017,13:00,USD,Fed releases minutes of July meeting,high,0,0,0
8/17/2017,3:30,GBP,Core Retail Sales (m/m),high,0.10%,0.90%,1
8/17/2017,3:30,GBP,Retail Sales (m/m),high,0.20%,0.60%,1
8/17/2017,3:30,GBP,Core Retail Sales (y/y),high,1.20%,3.00%,1
8/17/2017,3:30,GBP,Retail Sales (y/y),high,1.40%,2.8%*,1
8/17/2017,4:00,EUR,CPI (y/y),high,1.30%,1.30%,1
8/17/2017,8:15,USD,Manufacturing Production (m/m),high,0.20%,0.20%,1
8/18/2017,9:00,USD,UoM Consumer Sentiment Index,high,94,93.4,1
8/22/2017,4:00,EUR,ZEW (Economic Sentiment),high,0,28.7*,0
8/22/2017,4:00,EUR,ZEW (Current Conditions),high,0,35.6,0
8/24/2017,3:30,GBP,GDP (Prelim) (q/q),high,0.30%,0.30%,1
8/24/2017,3:30,GBP,GDP (Prelim) (y/y),high,1.70%,1.70%,1
8/25/2017,3:00,EUR,German IFO Expectations,high,106.8,107.3,1
8/25/2017,3:00,EUR,German IFO Current Conditions,high,125,125.5*,1
8/25/2017,3:00,EUR,German IFO Business Climate,high,115.5,116,1
8/25/2017,9:00,USD,"Fed's Yellen Speaks in Jackson Hole, US",high,0,0,0
8/25/2017,14:00,EUR,"ECB's Draghi Speaks in Jackson Hole, US",high,0,0,0
8/28/2017,All Day,GBP,Market Holiday - Summer Bank Holiday,high,0,0,0
8/29/2017,9:00,USD,Consumer Confidence,high,120.7,121.1,1
8/30/2017,7:15,USD,ADP National Employment Report,high,185.0k,201.0k*,1
8/30/2017,7:30,USD,GDP (q/q ann),high,2.70%,2.60%,1
8/31/2017,4:00,EUR,CPI (y/y),high,1.40%,1.30%,1
9/1/2017,7:30,USD,Unemployment Rate,high,4.30%,4.30%,-1
9/1/2017,7:30,USD,Average Hourly Earnings (m/m),high,0.20%,0.1%*,1
9/1/2017,7:30,USD,Nonfarm Payrolls,high,180.0k,189.0k*,1
9/1/2017,9:00,USD,UoM Consumer Sentiment Index,high,97.5,97.6,1
9/1/2017,9:00,USD,ISM Manufacturing,high,56.5,56.3,1
9/4/2017,All Day,USD,Market Holiday - Labour Day,high,0,0,0
9/6/2017,9:00,USD,ISM Non-Manufacturing,high,55.5,53.9,1
9/6/2017,13:00,USD,Fed releases Beige Book on economic conditions,high,0,0,0
9/7/2017,4:00,EUR,GDP (SA) (Final) (q/q),high,0.60%,0.60%,1
9/7/2017,4:00,EUR,GDP (SA) (Final) (y/y),high,2.20%,2.20%,1
9/7/2017,6:45,EUR,ECB's Interest Rate Announcement,high,0,0,0
9/7/2017,7:30,EUR,ECB President Draghi gives press conference following interest rate announcement,high,0,0,0
9/8/2017,3:30,GBP,Manufacturing Production (y/y),high,1.70%,0.60%,1
9/12/2017,3:30,GBP,CPI (m/m),high,0.50%,-0.10%,1
9/12/2017,3:30,GBP,CPI (y/y),high,2.80%,2.60%,1
9/13/2017,7:30,USD,PPI (m/m),high,0.30%,-0.10%,1
9/14/2017,6:00,GBP,BoE Monetary Policy Meeting and Rate Decision,high,0,0,0
9/14/2017,6:00,GBP,BoE MPC minutes released,high,0,0,0
9/14/2017,6:00,GBP,BoE Bank Rate,high,0.25%,0.25%,-1
9/14/2017,7:30,USD,Core CPI (m/m),high,0.20%,0.10%,1
9/14/2017,7:30,USD,CPI (m/m),high,0.30%,0.10%,1
9/15/2017,7:30,USD,Retail Sales (ex Autos) (m/m),high,0.50%,0.4%*,1
9/15/2017,7:30,USD,Retail Sales (m/m),high,0.10%,0.3%*,1
9/15/2017,9:00,USD,UoM Consumer Sentiment Index,high,95,96.8,1
9/18/2017,All Day,JPY,Market Holiday - Respect fopr the Aged Day,high,0,0,0
9/18/2017,4:00,EUR,Flash HICP (Final) (y/y),high,1.50%,1.30%,1
9/19/2017,4:00,EUR,ZEW (Economic Sentiment),high,0,29.3,0
9/20/2017,3:30,GBP,Core Retail Sales (m/m),high,0.10%,0.7%*,1
9/20/2017,3:30,GBP,Retail Sales (m/m),high,0.20%,0.6%*,1
9/20/2017,3:30,GBP,Core Retail Sales (y/y),high,1.40%,1.7%*,1
9/20/2017,3:30,GBP,Retail Sales (y/y),high,1.20%,0.6%*,1
9/20/2017,13:00,USD,Federal Reserve FOMC Interest Rate Decision,high,0,0,0
9/20/2017,13:00,USD,Federal Funds Rate,high,1.25%,1.25%,-1
9/20/2017,13:30,USD,Fed's Yellen holds news conference,high,0,0,0
9/21/2017,All Day,JPY,BoJ Policy Statement and Governor Kuroda Press Conference,high,0,0,0
9/21/2017,All Day,EUR,ECB Council Meeting,high,0,0,0
9/22/2017,All Day,JPY,Market Holiday - Autumnal Equinox Day,high,0,0,0
9/25/2017,3:00,EUR,German IFO Business Climate,high,115.9,115.9,1
9/25/2017,3:00,EUR,German IFO Expectations,high,107.7,107.8*,1
9/25/2017,3:00,EUR,German IFO Current Conditions,high,124.6,124.7*,1
9/25/2017,18:50,JPY,BoJ Minutes Released,high,0,0,0
9/26/2017,9:00,USD,Consumer Confidence,high,120,120.4*,1
9/26/2017,11:45,USD,"Fed's Yellen Speaks in NABE Conference, Ohio",high,0,0,0
9/29/2017,3:30,GBP,GDP (Final) (q/q),high,0.30%,0.30%,1
9/29/2017,3:30,GBP,GDP (Final) (y/y),high,1.70%,1.70%,1
9/29/2017,4:00,EUR,CPI (y/y),high,1.60%,1.50%,1
9/29/2017,9:00,USD,UoM Consumer Sentiment Index,high,95.3,95.3,1
10/2/2017,9:00,USD,ISM Manufacturing,high,58,58.8,1
10/3/2017,All Day,EUR,Market Holiday - German Unity Day,high,0,0,0
10/4/2017,7:15,USD,ADP National Employment Report,high,135.0k,228.0k*,1
10/4/2017,9:00,USD,ISM Non-Manufacturing,high,55.5,55.3,1
10/6/2017,7:30,USD,Unemployment Rate,high,4.40%,4.40%,-1
10/6/2017,7:30,USD,Average Hourly Earnings (m/m),high,0.30%,0.2%*,1
10/6/2017,7:30,USD,Nonfarm Payrolls,high,80.0k,169.0k*,1
10/6/2017,7:30,USD,Private Payrolls,high,74.0k,164.0k*,1
10/9/2017,All Day,JPY,Market Holiday - Health-Sports Day,high,0,0,0
10/10/2017,3:30,GBP,Manufacturing Production (y/y),high,1.90%,1.90%,1
10/12/2017,7:30,USD,PPI (m/m),high,0.40%,0.20%,1
10/13/2017,7:30,USD,Retail Sales (ex Autos) (m/m),high,0.90%,0.5%*,1
10/13/2017,7:30,USD,Retail Sales (m/m),high,1.70%,-0.1%*,1
10/13/2017,7:30,USD,Core CPI (m/m),high,0.20%,0.20%,1
10/13/2017,7:30,USD,CPI (m/m),high,0.60%,0.40%,1
10/13/2017,9:00,USD,UoM Consumer Sentiment Index,high,95,95.1,1
10/17/2017,3:30,GBP,CPI (m/m),high,0.30%,0.60%,1
10/17/2017,3:30,GBP,CPI (y/y),high,3.00%,2.90%,1
10/17/2017,4:00,EUR,ZEW (Economic Sentiment),high,0,31.7,0
10/17/2017,4:00,EUR,CPI (y/y),high,1.50%,1.50%,1
10/19/2017,3:30,GBP,Core Retail Sales (m/m),high,-0.20%,1.00%,1
10/19/2017,3:30,GBP,Retail Sales (m/m),high,-0.10%,1.00%,1
10/19/2017,3:30,GBP,Core Retail Sales (y/y),high,2.20%,2.80%,1
10/19/2017,3:30,GBP,Retail Sales (y/y),high,2.10%,2.4%*,1
10/25/2017,3:00,EUR,German IFO Current Conditions,high,123.5,123.6,1
10/25/2017,3:00,EUR,German IFO Business Climate,high,115,115.2,1
10/25/2017,3:00,EUR,German IFO Expectations,high,107.3,107.4,1
10/25/2017,3:30,GBP,GDP (Advanced) (q/q),high,0.30%,0.30%,1
10/25/2017,3:30,GBP,GDP (Advanced) (y/y),high,1.50%,1.50%,1
10/26/2017,All Day,EUR,ECB President Draghi gives press conference following interest rate announcement,high,0,0,0
10/27/2017,9:00,USD,UoM Consumer Sentiment Index,high,100.7,101.1,1
10/30/2017,All Day,JPY,BoJ Policy Statement and Governor Kuroda Press Conference,high,0,0,0
10/31/2017,All Day,EUR,French Market Holiday - Day of Reformation,high,0,0,0
10/31/2017,All Day,EUR,German Market Holiday - Day of Reformation,high,0,0,0
10/31/2017,All Day,JPY,BoJ Outlook Report,high,0,0,0
10/31/2017,5:00,EUR,GDP (SA) (Advanced) (q/q),high,0.50%,0.60%,1
10/31/2017,5:00,EUR,GDP (SA) (Advanced) (y/y),high,2.40%,2.30%,1
10/31/2017,9:00,USD,Consumer Confidence,high,121.3,119.8,1
11/1/2017,7:15,USD,ADP National Employment Report,high,200.0k,110.0k*,1
11/1/2017,9:00,USD,ISM Manufacturing,high,59.4,60.8,1
11/1/2017,13:00,USD,Federal Reserve FOMC meeting,high,0,0,0
11/1/2017,13:00,USD,Federal Funds Rate,high,1.25%,1.25%,-1
11/2/2017,7:00,GBP,BoE Releases Quarterly Inflation Report,high,0,0,0
11/2/2017,7:00,GBP,BoE MPC minutes released,high,0,0,0
11/2/2017,7:00,GBP,BoE Bank Rate,high,0.50%,0.25%,-1
11/2/2017,7:00,GBP,Asset Purchase Facility,high,435.0B,435.0B,-1
11/2/2017,7:30,GBP,BoE's Carney Speaks on Rate Decision,high,0,0,0
11/3/2017,All Day,JPY,Market Holiday - Culture Day,high,0,0,0
11/3/2017,7:30,USD,Average Hourly Earnings (m/m),high,0.20%,0.50%,1
11/3/2017,7:30,USD,Private Payrolls,high,302.0k,15.0k*,1
11/3/2017,7:30,USD,Nonfarm Payrolls,high,313.0k,18.0k*,1
11/3/2017,7:30,USD,Unemployment Rate,high,4.20%,4.20%,-1
11/3/2017,9:00,USD,ISM Non-Manufacturing,high,58.5,59.8,1
11/5/2017,17:50,JPY,BoJ Release Minutes,high,0,0,0
11/10/2017,3:30,GBP,Manufacturing Production (y/y),high,2.40%,2.80%,1
11/10/2017,9:00,USD,UoM Consumer Sentiment Index,high,100.9,100.7,1
11/11/2017,All Day,USD,Market Holiday - Veteran's Day,high,0,0,0
11/12/2017,18:10,USD,Fed's Harker Speaks in Tokyo,high,0,0,0
11/14/2017,3:30,GBP,CPI (m/m),high,0.20%,0.30%,1
11/14/2017,3:30,GBP,CPI (y/y),high,3.10%,3.00%,1
11/14/2017,4:00,EUR,ZEW (Economic Sentiment),high,0,26.7,0
11/14/2017,4:00,EUR,GDP (SA) (Prelim) (q/q),high,0.60%,0.60%,1
11/14/2017,4:00,EUR,GDP (SA) (Prelim) (y/y),high,2.50%,2.50%,1
11/14/2017,4:00,USD,"Fed's Yellen Speaks on ECB Panel with Draghi, Kuroda and Carney",high,0,0,0
11/14/2017,7:30,USD,PPI (m/m),high,0.10%,0.40%,1
11/15/2017,7:30,USD,Core CPI (m/m),high,0.20%,0.10%,1
11/15/2017,7:30,USD,CPI (m/m),high,0.10%,0.50%,1
11/15/2017,7:30,USD,Retail Sales (ex Autos) (m/m),high,0.20%,1.2%*,1
11/15/2017,7:30,USD,Retail Sales (m/m),high,0.00%,1.9%*,1
11/16/2017,3:30,GBP,Core Retail Sales (m/m),high,0.00%,-0.70%,1
11/16/2017,3:30,GBP,Retail Sales (m/m),high,0.20%,-0.80%,1
11/16/2017,3:30,GBP,Core Retail Sales (y/y),high,-0.40%,1.60%,1
11/16/2017,3:30,GBP,Retail Sales (y/y),high,-0.50%,1.20%,1
11/22/2017,9:00,USD,UoM Consumer Sentiment Index,high,98,97.8,1
11/23/2017,3:30,GBP,GDP (Prelim) (q/q),high,0.40%,0.40%,1
11/23/2017,3:30,GBP,GDP (Prelim) (y/y),high,1.50%,1.50%,1
11/24/2017,3:00,EUR,German IFO Current Conditions,high,125,124.8,1
11/24/2017,3:00,EUR,German IFO Business Climate,high,116.7,116.7,1
11/24/2017,3:00,EUR,German IFO Expectations,high,108.8,109.1,1
11/28/2017,9:00,USD,Consumer Confidence,high,124,126.2*,1
11/30/2017,4:00,EUR,CPI (y/y),high,1.60%,1.4%*,1
12/1/2017,9:00,USD,ISM Manufacturing,high,58.3,58.7,1
12/5/2017,9:00,USD,ISM Non-Manufacturing,high,59,60.1,1
12/6/2017,7:15,USD,ADP National Employment Report,high,190.0k,235.0k,1
12/6/2017,8:00,EUR,ECB's Draghi Speaks in Brussels,high,0,0,0
12/7/2017,4:00,EUR,GDP (SA) (q/q),high,0.60%,0.60%,1
12/7/2017,4:00,EUR,GDP (SA) (y/y),high,2.50%,2.50%,1
12/8/2017,3:30,GBP,Manufacturing Production (y/y),high,3.80%,2.70%,1
12/8/2017,7:30,USD,Average Hourly Earnings (m/m),high,0.30%,-0.1%*,1
12/8/2017,7:30,USD,Private Payrolls,high,195.0k,247.0k*,1
12/8/2017,7:30,USD,Nonfarm Payrolls,high,195.0k,244.0k*,1
12/8/2017,7:30,USD,Unemployment Rate,high,4.10%,4.10%,-1
12/8/2017,9:00,USD,UoM Consumer Sentiment Index,high,99,98.5,1
12/12/2017,3:30,GBP,CPI (m/m),high,0.20%,0.10%,1
12/12/2017,3:30,GBP,CPI (y/y),high,3.00%,3.00%,1
12/12/2017,4:00,EUR,ZEW (Economic Sentiment),high,0,30.9,0
12/12/2017,7:30,USD,PPI (m/m),high,0.40%,0.40%,1
12/13/2017,7:30,USD,Core CPI (m/m),high,0.20%,0.20%,1
12/13/2017,7:30,USD,CPI (m/m),high,0.40%,0.10%,1
12/13/2017,13:00,USD,Federal Reserve FOMC meeting,high,0,0,0
12/13/2017,13:00,USD,Federal Funds Rate,high,1.50%,1.25%,-1
12/14/2017,All Day,GBP,BoE Monetary Policy Committee Meeting and Rate Decision,high,0,0,0
12/14/2017,3:30,GBP,Core Retail Sales (m/m),high,0.40%,0.4%*,1
12/14/2017,3:30,GBP,Retail Sales (m/m),high,0.40%,0.5%*,1
12/14/2017,3:30,GBP,Core Retail Sales (y/y),high,0.20%,0.0%*,1
12/14/2017,3:30,GBP,Retail Sales (y/y),high,0.30%,0.0%*,1
12/14/2017,6:00,GBP,BoE MPC minutes released,high,0,0,0
12/14/2017,6:00,GBP,BoE Bank Rate,high,0.50%,0.50%,-1
12/14/2017,6:00,GBP,Asset Purchase Facility,high,435.0B,435.0B,-1
12/14/2017,7:30,EUR,ECB's Draghi Press Conference Post Interest Rate Decision,high,0,0,0
12/14/2017,7:30,USD,Retail Sales (ex Autos) (m/m),high,0.60%,0.4%*,1
12/14/2017,7:30,USD,Retail Sales (m/m),high,0.30%,0.5%*,1
12/19/2017,3:00,EUR,German IFO Current Conditions,high,0,124.4,0
12/19/2017,3:00,EUR,German IFO Business Climate,high,0,117.5,0
12/19/2017,3:00,EUR,German IFO Expectations,high,0,111,0
12/20/2017,All Day,JPY,BoJ Policy Statement and Governor Kuroda Press Conference,high,0,0,0
12/22/2017,3:30,GBP,GDP (Final) (q/q),high,0.40%,0.40%,1
12/22/2017,3:30,GBP,GDP (Final) (y/y),high,1.50%,1.50%,1
12/22/2017,9:00,USD,UoM Consumer Sentiment Index,high,97.2,96.8,1
12/25/2017,All Day,GBP,Market Holiday - Christmas Day,high,0,0,0
12/25/2017,All Day,GBP,Market Holiday - Christmas Day,high,0,0,0
12/25/2017,All Day,EUR,German Market Holiday - Christmas Day,high,0,0,0
12/25/2017,All Day,EUR,French Market Holiday - Christmas Day,high,0,0,0
12/25/2017,All Day,EUR,German Market Holiday - Christmas Day,high,0,0,0
12/25/2017,All Day,USD,Market Holiday - Christmas Day,high,0,0,0
12/26/2017,All Day,EUR,German Market Holiday - Boxing Day,high,0,0,0
12/26/2017,All Day,GBP,Market Holiday - Boxing Day ,high,0,0,0
12/26/2017,All Day,EUR,German Market Holiday - Boxing Day,high,0,0,0
12/26/2017,All Day,GBP,Market Holiday - Boxing Day,high,0,0,0
12/27/2017,9:00,USD,Consumer Confidence,high,128,128.6*,1
1/3/2018,9:00,USD,ISM Manufacturing,high,58.2,58.2,1
1/3/2018,13:00,USD,FOMC Releases Monetary Policy Meeting Minutes,high,0,0,0
1/4/2018,7:15,USD,ADP National Employment Report,high,190.0k,190.0k,1
1/5/2018,4:00,EUR,CPI (y/y),high,1.40%,1.50%,1
1/5/2018,7:30,USD,Average Hourly Earnings (m/m),high,0.30%,0.1%*,1
1/5/2018,7:30,USD,Private Payrolls,high,193.0k,239.0k*,1
1/5/2018,7:30,USD,Nonfarm Payrolls,high,190.0k,252.0k*,1
1/5/2018,7:30,USD,Unemployment Rate,high,4.10%,4.10%,-1
1/5/2018,9:00,USD,ISM Non-Manufacturing,high,57.6,57.4,1
1/10/2018,2:30,GBP,Manufacturing Production (y/y),high,2.80%,4.7%*,1
1/11/2018,7:30,USD,PPI (m/m),high,0.20%,0.40%,1
1/12/2018,7:30,USD,Retail Sales (ex Autos) (m/m),high,0.40%,1.3%*,1
1/12/2018,7:30,USD,Retail Sales (m/m),high,0.50%,0.9%*,1
1/12/2018,7:30,USD,Core CPI (m/m),high,0.20%,0.10%,1
1/12/2018,7:30,USD,CPI (m/m),high,0.10%,0.40%,1
1/12/2018,15:15,USD,Fed's Rosengren Speaks in San Diego,high,0,0,0
1/16/2018,3:30,GBP,CPI (m/m),high,0.40%,0.30%,1
1/16/2018,3:30,GBP,CPI (y/y),high,3.00%,3.10%,1
1/19/2018,3:30,GBP,Core Retail Sales (m/m),high,-1.00%,1.1%*,1
1/19/2018,3:30,GBP,Retail Sales (m/m),high,-1.00%,1.0%*,1
1/19/2018,3:30,GBP,Retail Sales (y/y),high,2.60%,1.5%*,1
1/19/2018,3:30,GBP,Core Retail Sales (y/y),high,2.60%,1.50%,1
1/19/2018,9:00,USD,UoM Consumer Sentiment Index,high,97,95.9,1
1/22/2018,All Day,JPY,BoJ Monetary Policy Meeting,high,0,0,0
1/23/2018,4:00,EUR,ZEW (Economic Sentiment),high,0,29,0
1/25/2018,All Day,EUR,ECB's Draghi Press Conference Post Rate Meeting,high,0,0,0
1/25/2018,3:00,EUR,German IFO Expectations,high,109.3,109.5,1
1/25/2018,3:00,EUR,German IFO Current Conditions,high,125.3,125.5*,1
1/25/2018,3:00,EUR,German IFO Business Climate,high,117,117.2,1
1/25/2018,17:50,JPY,BoJ Monetary Policy Meeting Minutes,high,0,0,0
1/26/2018,3:30,GBP,GDP (q/q),high,0.40%,0.40%,1
1/26/2018,3:30,GBP,GDP (y/y),high,1.40%,1.70%,1
1/30/2018,4:00,EUR,GDP (SA) (q/q),high,0.60%,0.60%,1
1/30/2018,4:00,EUR,GDP (SA) (y/y),high,2.70%,2.60%,1
1/30/2018,9:00,USD,Consumer Confidence,high,123,123.1*,1
1/30/2018,10:30,EUR,ECB's Mersch Speaks in Frankfurt,high,0,0,0
1/30/2018,17:50,JPY,BoJ Releases Summary of Opinions,high,0,0,0
1/31/2018,7:15,USD,ADP National Employment Report,high,183.0k,242.0k*,1
1/31/2018,7:30,USD,US  Quarterly Treasury Refunding Announcement,high,0,0,0
1/31/2018,13:00,USD,Federal Funds Rate,high,1.50%,1.50%,-1
2/1/2018,9:00,USD,ISM Manufacturing,high,58.6,59.3*,1
2/2/2018,7:30,USD,Average Hourly Earnings (m/m),high,0.20%,0.4%*,1
2/2/2018,7:30,USD,Unemployment Rate,high,4.10%,4.10%,-1
2/2/2018,7:30,USD,Private Payrolls,high,181.0k,166.0k*,1
2/2/2018,7:30,USD,Nonfarm Payrolls,high,180.0k,160.0k*,1
2/2/2018,9:00,USD,UoM Consumer Sentiment Index,high,95,94.4,1
2/5/2018,9:00,USD,ISM Non-Manufacturing,high,56.5,56.0*,1
2/8/2018,6:00,GBP,BoE Bank Rate,high,0.50%,0.50%,-1
2/8/2018,6:00,GBP,Asset Purchase Facility,high,435.0B,435.0B,-1
2/9/2018,3:30,GBP,Manufacturing Production (y/y),high,1.20%,3.50%,1
2/13/2018,3:30,GBP,CPI (m/m),high,-0.60%,0.40%,1
2/13/2018,3:30,GBP,CPI (y/y),high,2.90%,3.00%,1
2/14/2018,4:00,EUR,GDP (SA) (q/q),high,0.60%,0.60%,1
2/14/2018,4:00,EUR,GDP (SA) (y/y),high,2.70%,2.70%,1
2/14/2018,7:30,USD,Core CPI (m/m),high,0.20%,0.2%*,1
2/14/2018,7:30,USD,CPI (m/m),high,0.30%,0.2%*,1
2/14/2018,7:30,USD,Retail Sales (ex Autos) (m/m),high,0.50%,0.1%*,1
2/14/2018,7:30,USD,Retail Sales (m/m),high,0.20%,0.40%,1
2/15/2018,7:30,USD,PPI (m/m),high,0.40%,0.0%*,1
2/16/2018,3:30,GBP,Core Retail Sales (m/m),high,0.60%,-1.60%,1
2/16/2018,3:30,GBP,Retail Sales (m/m),high,0.50%,-1.50%,1
2/16/2018,3:30,GBP,Core Retail Sales (y/y),high,2.40%,1.30%,1
2/16/2018,3:30,GBP,Retail Sales (y/y),high,2.50%,1.40%,1
2/16/2018,9:00,USD,UoM Consumer Sentiment Index,high,95.4,95.7,1
2/20/2018,4:00,EUR,ZEW (Economic Sentiment),high,0,31.8,0
2/22/2018,3:00,EUR,German IFO Business Climate,high,117,117.6,1
2/22/2018,3:00,EUR,German IFO Expectations,high,107.9,108.3*,1
2/22/2018,3:00,EUR,German IFO Current Conditions,high,127,127.8*,1
2/22/2018,3:30,GBP,GDP (q/q),high,0.50%,0.50%,1
2/22/2018,3:30,GBP,GDP (y/y),high,1.50%,1.50%,1
2/27/2018,9:00,USD,Consumer Confidence,high,126.4,124.3*,1
2/28/2018,4:00,EUR,CPI (y/y),high,1.20%,1.3%*,1
3/1/2018,9:00,USD,ISM Manufacturing,high,58.7,59.1,1
3/2/2018,9:00,USD,UoM Consumer Sentiment Index,high,99.5,99.9,1
3/5/2018,9:00,USD,ISM Non-Manufacturing,high,58.5,59.9,1
3/7/2018,4:00,EUR,GDP (SA) (q/q),high,0.60%,0.60%,1
3/7/2018,4:00,EUR,GDP (SA) (y/y),high,2.70%,2.70%,1
3/7/2018,7:15,USD,ADP National Employment Report,high,200.0k,244.0k*,1
3/8/2018,18:00,GBP,Manufacturing Production (y/y),high,2.80%,1.40%,1
3/9/2018,7:30,USD,Average Hourly Earnings (m/m),high,0.20%,0.30%,1
3/9/2018,7:30,USD,Private Payrolls,high,205.0k,238.0k*,1
3/9/2018,7:30,USD,Nonfarm Payrolls,high,205.0k,239.0k*,1
3/9/2018,7:30,USD,Unemployment Rate,high,4.00%,4.10%,-1
3/13/2018,7:30,USD,Core CPI (m/m),high,0.20%,0.30%,1
3/13/2018,7:30,USD,CPI (m/m),high,0.20%,0.50%,1
3/14/2018,7:30,USD,PPI (m/m),high,0.10%,0.40%,1
3/14/2018,7:30,USD,Retail Sales (ex Autos) (m/m),high,0.40%,0.1%*,1
3/14/2018,7:30,USD,Retail Sales (m/m),high,0.30%,-0.1%*,1
3/16/2018,9:00,USD,UoM Consumer Sentiment Index,high,99.2,99.7,1
3/20/2018,4:30,GBP,CPI (m/m),high,0.50%,-0.50%,1
3/20/2018,4:30,GBP,CPI (y/y),high,2.80%,3.00%,1
3/20/2018,5:00,EUR,ZEW (Economic Sentiment),high,0,29.3,0
3/21/2018,13:00,USD,Federal Funds Rate,high,1.75%,1.50%,-1
3/22/2018,4:00,EUR,German IFO Expectations,high,104.4,105.4,1
3/22/2018,4:00,EUR,German IFO Current Conditions,high,125.6,126.3,1
3/22/2018,4:00,EUR,German IFO Business Climate,high,114.6,115.4,1
3/22/2018,4:30,GBP,Core Retail Sales (m/m),high,0.40%,0.2%*,1
3/22/2018,4:30,GBP,Retail Sales (m/m),high,0.30%,-0.2%*,1
3/22/2018,4:30,GBP,Core Retail Sales (y/y),high,1.20%,1.3%*,1
3/22/2018,4:30,GBP,Retail Sales (y/y),high,1.40%,1.5%*,1
3/22/2018,7:00,GBP,BoE Bank Rate,high,0.50%,0.50%,-1
3/22/2018,7:00,GBP,Asset Purchase Facility,high,435.0B,435.0B,-1
3/27/2018,9:00,USD,Consumer Confidence,high,131,130.0*,1
3/29/2018,3:30,GBP,GDP (q/q),high,0.40%,0.40%,1
3/29/2018,3:30,GBP,GDP (y/y),high,1.40%,1.40%,1
3/29/2018,9:00,USD,UoM Consumer Sentiment Index,high,102,102,1
4/2/2018,9:00,USD,ISM Manufacturing,high,60,60.8,1
4/4/2018,7:15,USD,ADP National Employment Report,high,210.0k,246.0k*,1
4/4/2018,9:00,USD,ISM Non-Manufacturing,high,59,59.5,1
4/6/2018,7:30,USD,Unemployment Rate,high,4.00%,4.10%,-1
4/6/2018,7:30,USD,Average Hourly Earnings (m/m),high,0.30%,0.10%,1
4/6/2018,7:30,USD,Nonfarm Payrolls,high,185.0k,326.0k*,1
4/6/2018,7:30,USD,Private Payrolls,high,190.0k,320.0k*,1
4/10/2018,7:30,USD,PPI (m/m),high,0.10%,0.20%,1
4/11/2018,3:30,GBP,Manufacturing Production (y/y),high,3.30%,2.2%*,1
4/11/2018,7:30,USD,CPI (m/m),high,0.00%,0.20%,1
4/11/2018,7:30,USD,Core CPI (m/m),high,0.20%,0.20%,1
4/13/2018,9:00,USD,UoM Consumer Sentiment Index,high,100.5,101.4,1
4/16/2018,7:30,USD,Retail Sales (ex Autos) (m/m),high,0.20%,0.20%,1
4/16/2018,7:30,USD,Retail Sales (m/m),high,0.40%,-0.10%,1
4/17/2018,4:00,EUR,ZEW (Economic Sentiment),high,0,13.4,0
4/18/2018,3:30,GBP,CPI (m/m),high,0.30%,0.40%,1
4/18/2018,3:30,GBP,CPI (y/y),high,2.70%,2.70%,1
4/19/2018,3:30,GBP,Core Retail Sales (m/m),high,-0.40%,0.4%*,1
4/19/2018,3:30,GBP,Retail Sales (m/m),high,-0.60%,0.80%,1
4/19/2018,3:30,GBP,Core Retail Sales (y/y),high,1.40%,1.2%*,1
4/19/2018,3:30,GBP,Retail Sales (y/y),high,1.90%,1.50%,1
4/24/2018,3:00,EUR,German IFO Expectations,high,99.5,100.0*,1
4/24/2018,3:00,EUR,German IFO Current Conditions,high,106.5,106.6*,1
4/24/2018,3:00,EUR,German IFO Business Climate,high,102.8,103.3*,1
4/24/2018,9:00,USD,Consumer Confidence,high,126,127.0*,1
4/27/2018,3:30,GBP,GDP (q/q),high,0.30%,0.40%,1
